iter	Logloss
0	0.6839846903
1	0.6753485209
2	0.6671519623
3	0.6592130025
4	0.6515698039
5	0.644192571
6	0.6369598541
7	0.6303346151
8	0.6242072042
9	0.6183771667
10	0.6126157735
11	0.6068809865
12	0.6012653351
13	0.5960958303
14	0.5915270589
15	0.5870505981
16	0.5826621958
17	0.5782540385
18	0.5742757772
19	0.5704440053
20	0.5668786214
21	0.5632603404
22	0.5599102478
23	0.5567116903
24	0.553617513
25	0.5507802684
26	0.5479297689
27	0.5451445414
28	0.5423830719
29	0.5396581065
30	0.5376524302
31	0.5352741394
32	0.5330770264
33	0.5308753764
34	0.5285913849
35	0.5268328094
36	0.5249756317
37	0.5231719259
38	0.5215932109
39	0.5198339844
40	0.5179971364
41	0.5162185338
42	0.5145047785
43	0.5129486491
44	0.511522522
45	0.5102794596
46	0.5088641357
47	0.5074841461
48	0.5062746251
49	0.5050909271
50	0.5040258942
51	0.5029165319
52	0.501718811
53	0.5006417643
54	0.4995751216
55	0.4984831441
56	0.4976206385
57	0.4965720139
58	0.495650856
59	0.4948187536
60	0.493991094
61	0.4931441727
62	0.4921413803
63	0.4911886826
64	0.4902569606
65	0.4894272003
66	0.4886392899
67	0.4879273122
68	0.4871214625
69	0.4864211655
70	0.4856731517
71	0.4849131978
72	0.4842642695
73	0.4835483068
74	0.4829188258
75	0.482282135
76	0.4815981166
77	0.4809817759
78	0.4803715693
79	0.4798436279
80	0.4792659938
81	0.4787053477
82	0.4781120097
83	0.4775887884
84	0.4771213277
85	0.4765409698
86	0.4760484365
87	0.4755120951
88	0.475003273
89	0.4744958293
90	0.4740151596
91	0.4735706685
92	0.4730692266
93	0.4726963145
94	0.4723594971
95	0.4719136124
96	0.4713572617
97	0.4709666163
98	0.4704963582
99	0.4700942128
100	0.4695900955
101	0.4692251358
102	0.468746727
103	0.4684082108
104	0.4680180461
105	0.4676220016
106	0.467309405
107	0.4669433111
108	0.4666013997
109	0.4663002268
110	0.4659207967
111	0.4655888926
112	0.4652545191
113	0.4649276326
114	0.4645536372
115	0.4642684962
116	0.4639017944
117	0.4635743205
118	0.4633480326
119	0.4630260824
120	0.46259493
121	0.4622450562
122	0.4619862111
123	0.4616819356
124	0.4613669383
125	0.4609685237
126	0.46069251
127	0.4604319865
128	0.4601218719
129	0.4598989283
130	0.4596112722
131	0.4593835017
132	0.4591562347
133	0.458921992
134	0.4585959778
135	0.4583061981
136	0.45807164
137	0.4578102442
138	0.4575920715
139	0.4573501002
140	0.457105545
141	0.4567747803
142	0.4564526418
143	0.4562358958
144	0.4559310659
145	0.4557007701
146	0.4555070826
147	0.4552987467
148	0.4549673971
149	0.4545950623
150	0.4544343414
151	0.4540707499
152	0.4538190664
153	0.4536227748
154	0.453226649
155	0.4530220947
156	0.4528218079
157	0.4526445058
158	0.4524483693
159	0.4522503738
160	0.4520534973
161	0.4518754578
162	0.4517108561
163	0.4515320587
164	0.4512855962
165	0.4510955709
166	0.4509141998
167	0.4507097015
168	0.4504936625
169	0.4502738139
170	0.450086441
171	0.4498635
172	0.4496407369
173	0.449458547
174	0.4491648788
175	0.4489343465
176	0.4487117132
177	0.4485278982
178	0.4483638102
179	0.4481553802
180	0.4479625626
181	0.4476770477
182	0.4474949341
183	0.4473444646
184	0.4471831182
185	0.4470230942
186	0.4467558289
187	0.4466010234
188	0.4462685394
189	0.4460169678
190	0.4458529205
191	0.4455936381
192	0.445391098
193	0.4452543666
194	0.4450088399
195	0.4448540904
196	0.4446585337
197	0.4445153351
198	0.4443304138
199	0.4441980616
200	0.4440847499
201	0.4438884481
202	0.4437658742
203	0.4435948995
204	0.4434258626
205	0.4432957738
206	0.4431712799
207	0.4430499191
208	0.4428822149
209	0.4427316895
210	0.4425283508
211	0.4424074656
212	0.4421071879
213	0.4417742615
214	0.441603391
215	0.4414367956
216	0.441130956
217	0.4409858576
218	0.440742953
219	0.4406369146
220	0.4403910929
221	0.4402659734
222	0.4400700836
223	0.4399590886
224	0.4397938512
225	0.4396678263
226	0.4394353282
227	0.4392551778
228	0.4390474116
229	0.4388333384
230	0.4385921199
231	0.4383738836
232	0.4382554881
233	0.4380582072
234	0.4378505554
235	0.4376541112
236	0.4375346146
237	0.4374260559
238	0.4372952627
239	0.4371535823
240	0.4370683034
241	0.4369622065
242	0.4367854029
243	0.4366845754
244	0.4365264282
245	0.4362966156
246	0.436077123
247	0.4358505452
248	0.4357464015
249	0.4356431478
250	0.4355481644
251	0.4352907384
252	0.43519605
253	0.4350877889
254	0.43501179
255	0.4349170303
256	0.4347681402
257	0.4346214193
258	0.4345082932
259	0.4342642186
260	0.4342027664
261	0.4340205154
262	0.4338244095
263	0.4336851044
264	0.4336056951
265	0.4335098877
266	0.4333994319
267	0.4333404566
268	0.4332324142
269	0.4330161235
270	0.4328769582
271	0.4327759755
272	0.4326969833
273	0.4325702693
274	0.4324679438
275	0.4323636475
276	0.4321710409
277	0.4320539983
278	0.4318954341
279	0.4317594147
280	0.4316981964
281	0.431591863
282	0.4314728572
283	0.4313883921
284	0.4312217534
285	0.4310673981
286	0.4309785182
287	0.4307318827
288	0.4306438828
289	0.4304980825
290	0.4304004059
291	0.4303493907
292	0.4302786764
293	0.4300393626
294	0.4299792964
295	0.4298873418
296	0.4298255437
297	0.4296951675
298	0.4296175435
299	0.4295493011
300	0.4294574585
301	0.4293510895
302	0.4292403285
303	0.4290300954
304	0.428894371
305	0.4288166504
306	0.4287390238
307	0.4285722783
308	0.4284781469
309	0.4283655319
310	0.4282759349
311	0.4281885885
312	0.428110466
313	0.4279657389
314	0.4277672526
315	0.4276873957
316	0.4274975662
317	0.4274266332
318	0.427332517
319	0.4271644211
320	0.4271005834
321	0.4270161387
322	0.4268722483
323	0.4267336858
324	0.4266781057
325	0.4265871557
326	0.4265274836
327	0.4264637604
328	0.426412351
329	0.4263319397
330	0.4262453995
331	0.4261849391
332	0.4260012207
333	0.4259407628
334	0.4258519821
335	0.4257052205
336	0.4256417999
337	0.4255792592
338	0.4254167709
339	0.4252721024
340	0.4251948497
341	0.425129954
342	0.4250571874
343	0.4249850566
344	0.4249185206
345	0.4248293533
346	0.4247445577
347	0.4246690547
348	0.4245906652
349	0.4245363337
350	0.4244689763
351	0.424342158
352	0.4242614161
353	0.4241965434
354	0.4240483729
355	0.4239810155
356	0.4238960292
357	0.423803098
358	0.4237015406
359	0.423640241
360	0.4235760752
361	0.4234995117
362	0.42345357
363	0.4233624217
364	0.4232514979
365	0.4231915538
366	0.4231429494
367	0.4230038808
368	0.4228062388
369	0.4227067184
370	0.4226561991
371	0.4225894648
372	0.4225492401
373	0.4225199356
374	0.4224688288
375	0.4223883514
376	0.4223462118
377	0.4222027817
378	0.4221355871
379	0.4220564601
380	0.4219938024
381	0.4219056396
382	0.4217852936
383	0.4217035726
384	0.4216478806
385	0.421576299
386	0.4215256297
387	0.4214368795
388	0.4213776067
389	0.4213173421
390	0.4211954829
391	0.4211196518
392	0.4210668538
393	0.4209977417
394	0.4209470622
395	0.4208471553
396	0.420740448
397	0.4206912511
398	0.4206009343
399	0.4204585012
