iter	Passed	Remaining
0	65	131503
1	72	72398
2	78	52502
3	85	42433
4	91	36607
5	98	32626
6	104	29695
7	110	27551
8	117	25935
9	123	24641
10	130	23549
11	136	22558
12	142	21790
13	148	21107
14	155	20585
15	162	20135
16	168	19635
17	175	19284
18	181	18942
19	187	18565
20	193	18273
21	199	17930
22	205	17653
23	211	17436
24	218	17222
25	223	17005
26	229	16803
27	236	16653
28	242	16474
29	248	16336
30	255	16215
31	261	16071
32	268	15981
33	275	15916
34	281	15810
35	288	15728
36	294	15636
37	301	15548
38	307	15481
39	313	15381
40	320	15314
41	327	15249
42	333	15163
43	339	15094
44	346	15032
45	352	14975
46	359	14918
47	365	14869
48	372	14843
49	379	14782
50	385	14717
51	392	14694
52	399	14681
53	406	14661
54	412	14604
55	419	14557
56	425	14508
57	432	14472
58	438	14424
59	445	14394
60	452	14378
61	459	14351
62	465	14326
63	473	14321
64	480	14299
65	487	14277
66	494	14259
67	501	14245
68	509	14244
69	516	14240
70	522	14200
71	530	14193
72	537	14191
73	544	14179
74	552	14192
75	560	14182
76	567	14169
77	573	14139
78	580	14115
79	587	14100
80	594	14080
81	601	14062
82	608	14043
83	615	14036
84	621	14012
85	628	13982
86	634	13955
87	641	13931
88	648	13921
89	653	13876
90	659	13828
91	666	13814
92	672	13794
93	679	13769
94	686	13757
95	692	13729
96	699	13725
97	706	13708
98	713	13691
99	719	13663
100	725	13644
101	732	13634
102	738	13596
103	744	13576
104	751	13563
105	757	13530
106	764	13520
107	770	13490
108	775	13459
109	782	13449
110	788	13421
111	795	13414
112	803	13410
113	809	13398
114	816	13385
115	822	13358
116	828	13339
117	835	13330
118	842	13315
119	849	13305
120	855	13289
121	861	13268
122	869	13261
123	876	13262
124	884	13269
125	892	13267
126	899	13272
127	905	13242
128	912	13238
129	919	13227
130	926	13220
131	932	13201
132	939	13185
133	946	13182
134	953	13168
135	960	13164
136	967	13156
137	974	13146
138	981	13139
139	988	13131
140	995	13126
141	1002	13115
142	1008	13099
143	1015	13093
144	1022	13083
145	1029	13070
146	1036	13061
147	1043	13054
148	1049	13039
149	1056	13024
150	1062	13015
151	1069	13007
152	1077	13008
153	1084	12999
154	1091	12993
155	1098	12985
156	1107	12997
157	1114	12991
158	1121	12980
159	1128	12975
160	1134	12961
161	1144	12982
162	1151	12972
163	1158	12965
164	1165	12965
165	1173	12962
166	1179	12951
167	1187	12949
168	1194	12943
169	1201	12936
170	1208	12927
171	1215	12918
172	1222	12914
173	1229	12901
174	1236	12897
175	1243	12891
176	1251	12884
177	1257	12874
178	1264	12864
179	1272	12863
180	1279	12855
181	1287	12856
182	1294	12851
183	1301	12845
184	1308	12837
185	1315	12833
186	1323	12828
187	1329	12818
188	1337	12812
189	1344	12803
190	1351	12796
191	1357	12784
192	1364	12771
193	1371	12763
194	1377	12752
195	1385	12747
196	1392	12741
197	1398	12728
198	1405	12718
199	1411	12707
200	1418	12696
201	1425	12686
202	1432	12676
203	1438	12664
204	1445	12661
205	1453	12656
206	1461	12657
207	1467	12643
208	1474	12634
209	1482	12632
210	1488	12622
211	1495	12613
212	1501	12599
213	1507	12580
214	1514	12570
215	1520	12559
216	1526	12541
217	1533	12531
218	1539	12518
219	1546	12509
220	1552	12493
221	1558	12485
222	1565	12476
223	1572	12466
224	1578	12455
225	1585	12447
226	1591	12430
227	1598	12423
228	1605	12415
229	1612	12407
230	1619	12400
231	1625	12388
232	1633	12386
233	1640	12377
234	1646	12364
235	1652	12351
236	1659	12341
237	1665	12332
238	1672	12323
239	1679	12317
240	1687	12313
241	1694	12306
242	1700	12295
243	1707	12285
244	1714	12279
245	1720	12270
246	1727	12257
247	1733	12249
248	1740	12239
249	1747	12229
250	1753	12220
251	1759	12206
252	1766	12197
253	1773	12188
254	1779	12179
255	1786	12168
256	1792	12160
257	1799	12149
258	1806	12141
259	1812	12126
260	1818	12117
261	1825	12109
262	1831	12097
263	1838	12088
264	1844	12075
265	1851	12067
266	1857	12056
267	1864	12049
268	1871	12043
269	1881	12053
270	1887	12045
271	1894	12034
272	1901	12027
273	1907	12017
274	1914	12008
275	1921	12000
276	1927	11991
277	1934	11982
278	1940	11968
279	1946	11959
280	1952	11945
281	1958	11934
282	1965	11923
283	1971	11914
284	1978	11904
285	1983	11889
286	1990	11880
287	1996	11865
288	2002	11856
289	2009	11847
290	2015	11838
291	2022	11828
292	2028	11820
293	2035	11809
294	2041	11799
295	2048	11791
296	2054	11781
297	2060	11769
298	2067	11760
299	2074	11755
300	2081	11751
301	2088	11745
302	2095	11737
303	2101	11724
304	2108	11716
305	2114	11707
306	2121	11700
307	2127	11689
308	2134	11680
309	2140	11671
310	2147	11662
311	2154	11655
312	2161	11647
313	2167	11640
314	2174	11630
315	2180	11621
316	2186	11607
317	2193	11599
318	2199	11591
319	2205	11578
320	2212	11572
321	2218	11563
322	2225	11555
323	2231	11545
324	2238	11536
325	2244	11526
326	2251	11517
327	2257	11509
328	2264	11500
329	2271	11492
330	2277	11486
331	2285	11481
332	2291	11473
333	2298	11466
334	2305	11458
335	2311	11448
336	2318	11440
337	2325	11433
338	2331	11423
339	2337	11413
340	2343	11401
341	2350	11393
342	2356	11386
343	2363	11378
344	2370	11369
345	2376	11362
346	2383	11356
347	2390	11346
348	2396	11337
349	2402	11325
350	2408	11316
351	2414	11306
352	2421	11297
353	2428	11291
354	2434	11282
355	2441	11274
356	2448	11266
357	2454	11257
358	2461	11250
359	2467	11238
360	2479	11257
361	2496	11295
362	2506	11301
363	2512	11294
364	2519	11285
365	2525	11276
366	2532	11268
367	2539	11260
368	2545	11250
369	2551	11239
370	2557	11230
371	2564	11221
372	2570	11212
373	2574	11193
374	2581	11186
375	2587	11176
376	2594	11170
377	2600	11158
378	2607	11151
379	2614	11144
380	2620	11136
381	2626	11126
382	2633	11119
383	2640	11112
384	2647	11104
385	2653	11095
386	2660	11087
387	2666	11079
388	2673	11072
389	2679	11062
390	2687	11057
391	2693	11050
392	2700	11043
393	2706	11032
394	2713	11025
395	2719	11013
396	2725	11004
397	2732	10997
398	2738	10989
399	2745	10981
400	2752	10973
401	2758	10965
402	2765	10957
403	2771	10947
404	2776	10935
405	2783	10928
406	2790	10920
407	2796	10912
408	2803	10905
409	2810	10898
410	2815	10887
411	2821	10875
412	2828	10867
413	2834	10859
414	2841	10851
415	2847	10844
416	2854	10837
417	2861	10829
418	2868	10821
419	2873	10810
420	2879	10800
421	2886	10794
422	2892	10784
423	2899	10777
424	2906	10770
425	2912	10762
426	2919	10754
427	2925	10745
428	2931	10736
429	2939	10731
430	2946	10724
431	2952	10715
432	2958	10707
433	2964	10695
434	2970	10688
435	2977	10681
436	2984	10675
437	2991	10667
438	2998	10660
439	3003	10650
440	3010	10642
441	3017	10635
442	3023	10626
443	3030	10619
444	3036	10609
445	3042	10600
446	3049	10593
447	3055	10586
448	3062	10578
449	3068	10570
450	3076	10565
451	3082	10557
452	3089	10549
453	3095	10542
454	3102	10534
455	3108	10523
456	3115	10517
457	3121	10508
458	3128	10502
459	3134	10493
460	3140	10484
461	3147	10476
462	3153	10468
463	3160	10463
464	3167	10455
465	3173	10448
466	3180	10440
467	3187	10433
468	3192	10422
469	3199	10415
470	3205	10407
471	3212	10399
472	3219	10392
473	3225	10385
474	3232	10378
475	3239	10370
476	3245	10363
477	3252	10355
478	3259	10348
479	3265	10339
480	3272	10333
481	3278	10325
482	3285	10319
483	3292	10311
484	3297	10300
485	3303	10292
486	3310	10286
487	3317	10279
488	3323	10269
489	3329	10259
490	3335	10249
491	3341	10243
492	3348	10235
493	3355	10228
494	3361	10221
495	3368	10213
496	3374	10206
497	3381	10199
498	3388	10192
499	3394	10182
500	3400	10173
501	3406	10166
502	3413	10159
503	3420	10151
504	3427	10145
505	3434	10139
506	3441	10135
507	3448	10128
508	3456	10124
509	3463	10119
510	3470	10112
511	3477	10106
512	3485	10102
513	3492	10097
514	3498	10089
515	3506	10083
516	3513	10077
517	3519	10070
518	3527	10065
519	3533	10056
520	3540	10049
521	3545	10039
522	3552	10032
523	3559	10026
524	3566	10019
525	3573	10013
526	3579	10006
527	3587	10001
528	3594	9994
529	3600	9987
530	3606	9978
531	3613	9971
532	3619	9962
533	3626	9955
534	3632	9946
535	3638	9939
536	3645	9931
537	3652	9925
538	3659	9918
539	3665	9910
540	3672	9903
541	3678	9894
542	3684	9886
543	3691	9878
544	3697	9870
545	3703	9863
546	3710	9855
547	3717	9848
548	3723	9841
549	3729	9833
550	3736	9825
551	3742	9817
552	3749	9810
553	3754	9800
554	3761	9792
555	3766	9781
556	3772	9773
557	3779	9766
558	3785	9758
559	3792	9751
560	3798	9742
561	3805	9736
562	3811	9728
563	3817	9720
564	3824	9714
565	3830	9704
566	3836	9696
567	3843	9688
568	3849	9682
569	3856	9675
570	3863	9667
571	3869	9661
572	3875	9652
573	3882	9644
574	3888	9636
575	3894	9628
576	3901	9621
577	3907	9613
578	3914	9606
579	3920	9597
580	3926	9590
581	3933	9583
582	3940	9577
583	3947	9570
584	3953	9563
585	3960	9555
586	3966	9548
587	3972	9540
588	3978	9531
589	3984	9523
590	3991	9517
591	3998	9510
592	4004	9502
593	4011	9495
594	4018	9488
595	4024	9480
596	4030	9473
597	4037	9466
598	4044	9459
599	4049	9449
600	4056	9442
601	4062	9434
602	4069	9427
603	4075	9419
604	4082	9412
605	4089	9406
606	4096	9400
607	4103	9394
608	4109	9386
609	4115	9378
610	4122	9370
611	4128	9362
612	4134	9355
613	4141	9349
614	4148	9343
615	4154	9334
616	4160	9325
617	4166	9317
618	4173	9311
619	4179	9303
620	4186	9296
621	4192	9288
622	4199	9281
623	4205	9273
624	4211	9265
625	4217	9257
626	4224	9250
627	4230	9242
628	4237	9235
629	4243	9227
630	4249	9219
631	4256	9213
632	4263	9206
633	4270	9200
634	4276	9193
635	4283	9187
636	4290	9181
637	4298	9175
638	4304	9167
639	4310	9160
640	4317	9153
641	4324	9147
642	4330	9140
643	4337	9133
644	4343	9125
645	4349	9117
646	4355	9109
647	4362	9102
648	4369	9096
649	4376	9089
650	4383	9082
651	4390	9076
652	4396	9069
653	4404	9064
