iter	Accuracy	MultiClass
0	0.7583481565	1.729406316
1	0.757034282	1.678210287
2	0.7577821798	1.630884532
3	0.7584290103	1.587159984
4	0.7580853816	1.544788551
5	0.7592779754	1.505645897
6	0.7598641656	1.471006624
7	0.7587524256	1.435944755
8	0.7606524903	1.40375156
9	0.7606727038	1.37369829
10	0.7622089263	1.345801218
11	0.7623706339	1.320041122
12	0.7657664942	1.295543603
13	0.7640483506	1.271157418
14	0.7659079884	1.24673494
15	0.7681516818	1.22416295
16	0.7690208603	1.203174883
17	0.7704358021	1.183148136
18	0.769142141	1.164279474
19	0.7690612872	1.146451096
20	0.7700113195	1.128796945
21	0.7707187904	1.112764961
22	0.7706177232	1.095773049
23	0.7710017788	1.079694777
24	0.7693847025	1.063784675
25	0.7708198577	1.048809655
26	0.7718709573	1.034502569
27	0.7721337322	1.020580728
28	0.7726188551	1.007059519
29	0.7716890362	0.9944783373
30	0.7717294631	0.9816358357
31	0.771365621	0.9701533605
32	0.7717496766	0.9585665102
33	0.7716688228	0.9478464497
34	0.7720528784	0.9372821917
35	0.7746199871	0.9268514839
36	0.7735891009	0.9160274557
37	0.7740540103	0.9065520226
38	0.7738518758	0.8972598202
39	0.7763583441	0.8881274858
40	0.7766817594	0.879059116
41	0.7763583441	0.8705122538
42	0.7763381307	0.8623005112
43	0.7764998383	0.8539556504
44	0.7758327943	0.8457532458
45	0.7771668823	0.8383267932
46	0.7774700841	0.8307762652
47	0.7783190492	0.8230299819
48	0.7778743532	0.8163721735
49	0.7786020375	0.8097615962
50	0.7780764877	0.802484319
51	0.7792084411	0.7950675249
52	0.779693564	0.7890264228
53	0.7792286546	0.7834351114
54	0.779693564	0.7773913204
55	0.7795924968	0.7712014031
56	0.7795318564	0.7646490219
57	0.7793903622	0.7587104128
58	0.7796127102	0.7531657123
59	0.7795520699	0.7478615063
60	0.7796329237	0.7428608119
61	0.7801180466	0.7378925386
62	0.7808255175	0.7333736846
63	0.78125	0.7285418164
64	0.7812702135	0.7240487172
65	0.7815329884	0.7191920157
66	0.7814117076	0.7150633731
67	0.7811085058	0.7110946086
68	0.7817755498	0.706949984
69	0.7820989651	0.7023342065
70	0.7819574709	0.6984758992
71	0.7823213131	0.6949309857
72	0.7834532665	0.690717581
73	0.7830894243	0.687407887
74	0.7833117723	0.6838037131
75	0.7839383894	0.6796323353
76	0.7842820181	0.6757631603
77	0.7842618047	0.6721742109
78	0.7843426585	0.6686835655
79	0.7845852199	0.6652480839
80	0.7848075679	0.6620195537
81	0.7851107697	0.6588286357
82	0.7850501294	0.6555666901
83	0.785656533	0.652277908
84	0.7857778137	0.6487900523
85	0.7856161061	0.646042389
86	0.7857373868	0.6424761293
87	0.7859193079	0.6397266888
88	0.7860203752	0.6370355185
89	0.7861214424	0.634359102
90	0.7863640039	0.6311544518
91	0.7864044308	0.6285151238
92	0.7863640039	0.6255690876
93	0.7887087646	0.6232081533
94	0.7888502587	0.6204131052
95	0.7892141009	0.6175901641
96	0.7898811449	0.6146848355
97	0.7899619987	0.6120907746
98	0.7902247736	0.6098562728
99	0.7901843467	0.6074864569
100	0.7902652005	0.6050989396
101	0.7902247736	0.6029754822
102	0.7905279754	0.6006418475
103	0.7906694696	0.598497979
104	0.7905886158	0.5964885058
105	0.7908513907	0.5945058753
106	0.7908716041	0.5926954169
107	0.7907907503	0.5908345812
108	0.7909322445	0.5890977578
109	0.7910737387	0.5873623605
110	0.7911141656	0.5853754367
111	0.791356727	0.5834427888
112	0.7915992885	0.581488943
113	0.791174806	0.5796762879
114	0.7916397154	0.5782972938
115	0.7915386481	0.5766672017
116	0.7917003558	0.5750066401
117	0.7913365136	0.5727803472
118	0.7912556598	0.5705521327
119	0.7915588616	0.5685507232
120	0.7913971539	0.5665218632
121	0.7917003558	0.5644315871
122	0.7918216365	0.5626637784
123	0.792023771	0.5606807999
124	0.7924482536	0.5587266319
125	0.7928323092	0.5568241038
126	0.7930546572	0.5550559488
127	0.7932365783	0.5533406128
128	0.7927110285	0.5514634074
129	0.7948132277	0.5497471349
130	0.7947930142	0.5483289514
131	0.7946717335	0.5468818332
132	0.7947323739	0.5453255374
133	0.7947930142	0.5436837002
134	0.794914295	0.5422165625
135	0.7950153622	0.5406455958
136	0.7951366429	0.5391551733
137	0.7947323739	0.5376154526
138	0.794914295	0.5357699452
139	0.7958441138	0.5345695078
140	0.7959653946	0.5330471059
141	0.795985608	0.5316688275
142	0.7956824062	0.5304479141
143	0.7959653946	0.5290986033
144	0.7962685964	0.527769903
145	0.7964100906	0.5264471415
146	0.7976835382	0.5249952802
147	0.7974409767	0.5240514165
148	0.7972792691	0.5231545141
149	0.7976835382	0.5217822522
150	0.7975016171	0.5206210933
151	0.7978452458	0.5196327157
152	0.7978856727	0.5184059158
153	0.7978048189	0.5172573339
154	0.7978856727	0.5159923925
155	0.7980069534	0.5149059518
156	0.7981888745	0.5137045875
157	0.7980878072	0.512820416
158	0.7980675938	0.511953186
159	0.7981080207	0.5110225087
160	0.7981484476	0.5099839896
161	0.7983101552	0.5089137741
162	0.7982293014	0.5079915244
163	0.7982697283	0.5071847159
164	0.7981282342	0.5064634739
165	0.7984112225	0.5056268809
166	0.798653784	0.5048476656
167	0.7986335705	0.5041330394
168	0.798876132	0.5033231207
169	0.7987144243	0.5024028907
170	0.7988963454	0.5016908343
171	0.7991995472	0.5007260553
172	0.799502749	0.4998818284
173	0.8000889392	0.4987781319
174	0.8002708603	0.4982620313
175	0.8004932083	0.4976676773
176	0.8004729948	0.497156503
177	0.800614489	0.4965310127
178	0.800614489	0.4956441057
179	0.8006549159	0.4950257615
180	0.8007357697	0.4943325567
181	0.8009379043	0.4937164633
182	0.8009176908	0.4931430564
183	0.8009783312	0.4925447045
184	0.8011804657	0.4918624367
185	0.8012411061	0.4912728073
186	0.8013017464	0.4905917973
187	0.8015443079	0.4899949909
188	0.8014230272	0.4894428108
189	0.8016049483	0.4886605896
190	0.8017666559	0.4881517955
191	0.8020294308	0.4875550365
192	0.8021102846	0.4869896233
193	0.8020900712	0.4864012528
194	0.8021911384	0.4856477967
195	0.8022719922	0.485200562
196	0.8023528461	0.4846541566
197	0.8023528461	0.4841764574
198	0.802393273	0.4834952262
199	0.8023326326	0.4829353484
200	0.8024943402	0.4824857015
201	0.8026560479	0.4819242438
202	0.802615621	0.4813926846
203	0.8029592497	0.4807096886
204	0.8029188228	0.4801881149
205	0.8029996766	0.4796974037
206	0.8030401035	0.4791924906
207	0.8032018111	0.4786314893
208	0.8035050129	0.4780158038
209	0.8036465071	0.4775345087
210	0.803909282	0.4771196962
211	0.8038082147	0.4766500967
212	0.8039294955	0.4763131761
213	0.8040305627	0.4760009282
214	0.8041114166	0.4756196573
215	0.8041922704	0.4753350474
216	0.8043135511	0.4749224746
217	0.8044348318	0.4745316356
218	0.8045965395	0.4740065657
219	0.8048188875	0.4737230287
220	0.8049805951	0.4732725912
221	0.805021022	0.4730326482
222	0.805021022	0.4729239923
223	0.8050816624	0.4724557021
224	0.8053040103	0.4720037063
225	0.8052231565	0.4717183689
226	0.8051220893	0.4714788442
227	0.80524337	0.4708743885
228	0.8053444373	0.4703385391
229	0.8055869987	0.4700037909
230	0.8057284929	0.4696748926
231	0.8056072122	0.4694237483
232	0.8058295602	0.4689772331
233	0.805910414	0.468650799
234	0.8059710543	0.4683968551
235	0.8064763907	0.4679742348
236	0.8065572445	0.4676131449
237	0.806799806	0.4672693314
238	0.8065168176	0.4669989679
239	0.806759379	0.4667805835
240	0.8067189521	0.4665116217
241	0.8068402329	0.4660547272
242	0.8068402329	0.4656506186
243	0.807204075	0.4653232175
244	0.8072242885	0.4649709423
245	0.8073051423	0.4647705631
246	0.8073859961	0.4645277923
247	0.8073253558	0.464350365
248	0.8073051423	0.4639972241
249	0.807426423	0.4636914883
250	0.8073859961	0.4634244861
251	0.8076083441	0.4629988031
252	0.8075679172	0.4627747492
253	0.8076891979	0.4624003928
254	0.8077296248	0.4622061817
255	0.807648771	0.4620345844
256	0.8077296248	0.4618054157
257	0.8077902652	0.4615445353
258	0.8078913325	0.4612308362
259	0.8079923997	0.4610386102
260	0.8080530401	0.4608479797
261	0.8080328266	0.4607006209
262	0.8085583765	0.4603300779
263	0.8086594437	0.460051537
264	0.8087200841	0.4597610961
265	0.808760511	0.4596049472
266	0.8087807245	0.4592804265
267	0.8089222186	0.4589882791
268	0.8089626455	0.4588432049
269	0.8088009379	0.4587640097
270	0.8088211514	0.4585589972
271	0.8087807245	0.4582764262
272	0.8090232859	0.4579698422
273	0.8090839263	0.4577811523
274	0.8091849935	0.4574378437
275	0.8090232859	0.4572557807
276	0.8091041397	0.4571086622
277	0.8092456339	0.4569938822
278	0.8091849935	0.456782172
279	0.8091243532	0.4566289215
280	0.8091243532	0.4564693379
281	0.8091041397	0.4563323441
282	0.8094073415	0.4560969428
283	0.8094881953	0.4558193791
284	0.8095286223	0.4555769748
285	0.8097509702	0.4552763832
286	0.8097509702	0.4550573156
287	0.809872251	0.4548371301
288	0.8098318241	0.4547179869
289	0.8100541721	0.4545378862
290	0.8101956662	0.4541903857
291	0.8099733182	0.4539666608
292	0.8099935317	0.4537076133
293	0.8100339586	0.4535247693
294	0.8100339586	0.4533775047
295	0.8100541721	0.453225343
296	0.8101956662	0.4528770813
297	0.8102765201	0.4526821829
298	0.8103978008	0.4522814803
299	0.810316947	0.4521163717
300	0.8102765201	0.4520352827
301	0.8102563066	0.4517668291
302	0.810316947	0.4514638869
303	0.810539295	0.4511020446
304	0.8106201488	0.4509460859
305	0.8106403622	0.4508312255
306	0.8105797219	0.4507862215
307	0.8106605757	0.4504890295
308	0.8107010026	0.4502515705
309	0.8107818564	0.4501795244
310	0.8108829237	0.4499288865
311	0.8109637775	0.4498008922
312	0.8108020699	0.4496793693
313	0.8108020699	0.4496010752
314	0.8109233506	0.4494604952
315	0.8108627102	0.4493050996
316	0.8108627102	0.4490198776
317	0.8110042044	0.4488962347
318	0.8112063389	0.4487903682
319	0.8115297542	0.4485351041
320	0.8115297542	0.4484657863
321	0.811610608	0.4483157994
322	0.8116914618	0.4482176054
323	0.8117318887	0.4480228721
324	0.8119138098	0.4478924107
325	0.8118935964	0.4478482834
326	0.8119542367	0.4476507869
327	0.8118733829	0.4475065209
328	0.8119138098	0.447477225
329	0.8119744502	0.4474091355
330	0.8120148771	0.447071964
331	0.8119340233	0.446993841
332	0.8120755175	0.4468914676
333	0.8121361578	0.4467720562
334	0.8120755175	0.4466969837
335	0.8120957309	0.4466041525
336	0.8121361578	0.4463178695
337	0.8120957309	0.4462592003
338	0.8121967982	0.4461770204
339	0.8121563713	0.4461068884
340	0.8121967982	0.4459323869
341	0.8122372251	0.4457498838
342	0.8123585058	0.4455852096
343	0.8123180789	0.4454208296
344	0.8125202135	0.4452286698
345	0.8127627749	0.4451585753
346	0.812722348	0.4451179023
347	0.8127021345	0.445047041
348	0.8127021345	0.4449931137
349	0.812722348	0.4449127543
350	0.8127627749	0.4448455925
351	0.8128032018	0.4446992757
352	0.8129851229	0.4445296303
353	0.8130457633	0.4443782487
354	0.8130255498	0.4442862165
355	0.8132074709	0.4440658423
356	0.8130861902	0.4438433403
357	0.8131064036	0.4437535702
358	0.8132074709	0.4435479994
359	0.8133085382	0.4434474437
360	0.8132681113	0.4434226044
361	0.8133287516	0.4433289276
362	0.8132478978	0.4432384331
363	0.8132276843	0.4431809113
364	0.8131872574	0.4430151699
365	0.8133085382	0.4429357085
366	0.8133287516	0.4428062233
367	0.8132074709	0.44262501
368	0.8134500323	0.4424402151
369	0.8133691785	0.4424026273
370	0.8132478978	0.4421803981
371	0.8133085382	0.442040033
372	0.8134096054	0.441724897
373	0.8132681113	0.4416714104
374	0.8132883247	0.4414079889
375	0.8133489651	0.441361185
376	0.8132074709	0.4412839868
377	0.8131872574	0.4411754067
378	0.8132276843	0.4411401052
379	0.8132074709	0.4410116436
380	0.8131266171	0.4409449925
381	0.8131266171	0.4407986067
382	0.813167044	0.4407662057
383	0.8132681113	0.440619182
384	0.8132883247	0.4405468742
385	0.8132883247	0.4404480019
386	0.8132074709	0.440373613
387	0.8133287516	0.4402844997
388	0.8133691785	0.4400670625
389	0.813389392	0.4398763182
390	0.8135510996	0.4396783362
391	0.8134904592	0.4396450692
392	0.8134702458	0.4395794661
393	0.8134298189	0.4395328724
394	0.8135106727	0.4395151282
395	0.8135308862	0.4392624651
396	0.8135915265	0.4391849192
397	0.8136521669	0.4391042222
398	0.8135915265	0.4390076842
399	0.8135915265	0.4389929941
400	0.8135915265	0.4389264141
401	0.8136925938	0.4387727803
402	0.8136925938	0.438721623
403	0.813834088	0.4384895959
404	0.8137936611	0.4383779853
405	0.813834088	0.4383467741
406	0.8138745149	0.4383236667
407	0.8137936611	0.4381288473
408	0.8137128072	0.4380611253
409	0.8137734476	0.4378279872
